"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Mississippi"	"28"	"2011"	"2011"	"60-64 years "	"60-64"	Suppressed	169517	Suppressed
	"Mississippi"	"28"	"2011"	"2011"	"65-69 years"	"65-69"	Suppressed	123017	Suppressed
	"Mississippi"	"28"	"2011"	"2011"	"70-74 years"	"70-74"	Suppressed	96159	Suppressed
	"Mississippi"	"28"	"2011"	"2011"	"75-79 years"	"75-79"	Suppressed	71118	Suppressed
	"Mississippi"	"28"	"2011"	"2011"	"80-84 years"	"80-84"	Suppressed	52339	Suppressed
	"Mississippi"	"28"	"2011"	"2011"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2011"	"2011"			79	2978512	2.652
	"Mississippi"	"28"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	39651	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	164177	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"5-9 years"	"5-9"	Suppressed	208598	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"10-14 years"	"10-14"	Suppressed	208778	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"15-19 years"	"15-19"	Suppressed	211793	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"20-24 years"	"20-24"	Suppressed	223457	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"25-29 years"	"25-29"	11	193621	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	"30-34 years"	"30-34"	11	194988	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	"35-39 years"	"35-39"	16	180301	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	"40-44 years"	"40-44"	17	189646	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	"45-49 years"	"45-49"	16	195238	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	"50-54 years"	"50-54"	15	207331	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	"55-59 years"	"55-59"	11	194965	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	"60-64 years "	"60-64"	Suppressed	168307	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"65-69 years"	"65-69"	Suppressed	132965	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"70-74 years"	"70-74"	Suppressed	99246	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"75-79 years"	"75-79"	Suppressed	72539	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"80-84 years"	"80-84"	Suppressed	52096	Suppressed
	"Mississippi"	"28"	"2012"	"2012"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2012"	"2012"			111	2984926	3.719
	"Mississippi"	"28"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	38913	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	159513	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"5-9 years"	"5-9"	Suppressed	210116	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"10-14 years"	"10-14"	Suppressed	206434	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"15-19 years"	"15-19"	Suppressed	208077	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"20-24 years"	"20-24"	Suppressed	228174	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"25-29 years"	"25-29"	11	193648	Unreliable
	"Mississippi"	"28"	"2013"	"2013"	"30-34 years"	"30-34"	17	196436	Unreliable
	"Mississippi"	"28"	"2013"	"2013"	"35-39 years"	"35-39"	12	180516	Unreliable
	"Mississippi"	"28"	"2013"	"2013"	"40-44 years"	"40-44"	Suppressed	189480	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"45-49 years"	"45-49"	Suppressed	189575	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"50-54 years"	"50-54"	17	206297	Unreliable
	"Mississippi"	"28"	"2013"	"2013"	"55-59 years"	"55-59"	Suppressed	197845	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"60-64 years "	"60-64"	Suppressed	169883	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"65-69 years"	"65-69"	Suppressed	138247	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"70-74 years"	"70-74"	Suppressed	102375	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"75-79 years"	"75-79"	Suppressed	74763	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"80-84 years"	"80-84"	Suppressed	52110	Suppressed
	"Mississippi"	"28"	"2013"	"2013"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2013"	"2013"			100	2991207	3.343
	"Mississippi"	"28"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	37872	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	156236	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"5-9 years"	"5-9"	Suppressed	209541	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"10-14 years"	"10-14"	Suppressed	205107	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"15-19 years"	"15-19"	Suppressed	206956	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"20-24 years"	"20-24"	14	226657	Unreliable
	"Mississippi"	"28"	"2014"	"2014"	"25-29 years"	"25-29"	16	196315	Unreliable
	"Mississippi"	"28"	"2014"	"2014"	"30-34 years"	"30-34"	11	195415	Unreliable
	"Mississippi"	"28"	"2014"	"2014"	"35-39 years"	"35-39"	10	182231	Unreliable
	"Mississippi"	"28"	"2014"	"2014"	"40-44 years"	"40-44"	Suppressed	186633	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"45-49 years"	"45-49"	Suppressed	184867	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"50-54 years"	"50-54"	22	204871	10.738
	"Mississippi"	"28"	"2014"	"2014"	"55-59 years"	"55-59"	12	199352	Unreliable
	"Mississippi"	"28"	"2014"	"2014"	"60-64 years "	"60-64"	Suppressed	173643	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"65-69 years"	"65-69"	Suppressed	144005	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"70-74 years"	"70-74"	Suppressed	105430	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"75-79 years"	"75-79"	Suppressed	77359	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"80-84 years"	"80-84"	Suppressed	51954	Suppressed
	"Mississippi"	"28"	"2014"	"2014"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2014"	"2014"			115	2994079	3.841
	"Mississippi"	"28"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	38173	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	154609	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"5-9 years"	"5-9"	Suppressed	206682	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"10-14 years"	"10-14"	Suppressed	202868	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"15-19 years"	"15-19"	Suppressed	207225	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"20-24 years"	"20-24"	Suppressed	220785	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"25-29 years"	"25-29"	24	200323	11.981
	"Mississippi"	"28"	"2015"	"2015"	"30-34 years"	"30-34"	24	192663	12.457
	"Mississippi"	"28"	"2015"	"2015"	"35-39 years"	"35-39"	16	185475	Unreliable
	"Mississippi"	"28"	"2015"	"2015"	"40-44 years"	"40-44"	19	182368	Unreliable
	"Mississippi"	"28"	"2015"	"2015"	"45-49 years"	"45-49"	18	183123	Unreliable
	"Mississippi"	"28"	"2015"	"2015"	"50-54 years"	"50-54"	20	200671	9.967
	"Mississippi"	"28"	"2015"	"2015"	"55-59 years"	"55-59"	Suppressed	200298	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"60-64 years "	"60-64"	10	177369	Unreliable
	"Mississippi"	"28"	"2015"	"2015"	"65-69 years"	"65-69"	Suppressed	150373	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"70-74 years"	"70-74"	Suppressed	107649	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"75-79 years"	"75-79"	Suppressed	78759	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"80-84 years"	"80-84"	Suppressed	52624	Suppressed
	"Mississippi"	"28"	"2015"	"2015"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2015"	"2015"			150	2992333	5.013
	"Mississippi"	"28"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	37310	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	151391	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"5-9 years"	"5-9"	Suppressed	203836	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"10-14 years"	"10-14"	Suppressed	203202	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"15-19 years"	"15-19"	Suppressed	208334	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"20-24 years"	"20-24"	11	213132	Unreliable
	"Mississippi"	"28"	"2016"	"2016"	"25-29 years"	"25-29"	19	203930	Unreliable
	"Mississippi"	"28"	"2016"	"2016"	"30-34 years"	"30-34"	25	190323	13.136
	"Mississippi"	"28"	"2016"	"2016"	"35-39 years"	"35-39"	19	188305	Unreliable
	"Mississippi"	"28"	"2016"	"2016"	"40-44 years"	"40-44"	21	177230	11.849
	"Mississippi"	"28"	"2016"	"2016"	"45-49 years"	"45-49"	18	184935	Unreliable
	"Mississippi"	"28"	"2016"	"2016"	"50-54 years"	"50-54"	23	195028	11.793
	"Mississippi"	"28"	"2016"	"2016"	"55-59 years"	"55-59"	22	200613	10.966
	"Mississippi"	"28"	"2016"	"2016"	"60-64 years "	"60-64"	10	180216	Unreliable
	"Mississippi"	"28"	"2016"	"2016"	"65-69 years"	"65-69"	Suppressed	156619	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"70-74 years"	"70-74"	Suppressed	109432	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"75-79 years"	"75-79"	Suppressed	80299	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"80-84 years"	"80-84"	Suppressed	53627	Suppressed
	"Mississippi"	"28"	"2016"	"2016"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2016"	"2016"			180	2988726	6.023
	"Mississippi"	"28"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	36857	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	150320	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"5-9 years"	"5-9"	Suppressed	197812	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"10-14 years"	"10-14"	Suppressed	205268	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"15-19 years"	"15-19"	Suppressed	206300	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"20-24 years"	"20-24"	12	209390	Unreliable
	"Mississippi"	"28"	"2017"	"2017"	"25-29 years"	"25-29"	24	207379	11.573
	"Mississippi"	"28"	"2017"	"2017"	"30-34 years"	"30-34"	20	186213	10.740
	"Mississippi"	"28"	"2017"	"2017"	"35-39 years"	"35-39"	24	188901	12.705
	"Mississippi"	"28"	"2017"	"2017"	"40-44 years"	"40-44"	20	175194	11.416
	"Mississippi"	"28"	"2017"	"2017"	"45-49 years"	"45-49"	22	185592	11.854
	"Mississippi"	"28"	"2017"	"2017"	"50-54 years"	"50-54"	25	189280	13.208
	"Mississippi"	"28"	"2017"	"2017"	"55-59 years"	"55-59"	19	199550	Unreliable
	"Mississippi"	"28"	"2017"	"2017"	"60-64 years "	"60-64"	17	184525	Unreliable
	"Mississippi"	"28"	"2017"	"2017"	"65-69 years"	"65-69"	Suppressed	155792	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"70-74 years"	"70-74"	Suppressed	118198	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"75-79 years"	"75-79"	Suppressed	81964	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"80-84 years"	"80-84"	Suppressed	54104	Suppressed
	"Mississippi"	"28"	"2017"	"2017"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2017"	"2017"			185	2984100	6.200
"Total"	"Mississippi"	"28"					1558	55669094	2.799
	"Missouri"	"29"	"1999"	"1999"	"< 1 year"	"1"	Suppressed	72433	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	296696	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"5-9 years"	"5-9"	Suppressed	401327	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"10-14 years"	"10-14"	Suppressed	410286	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"15-19 years"	"15-19"	Suppressed	413459	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"20-24 years"	"20-24"	Suppressed	362424	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"25-29 years"	"25-29"	Suppressed	365607	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"30-34 years"	"30-34"	Suppressed	378212	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"35-39 years"	"35-39"	19	449019	Unreliable
	"Missouri"	"29"	"1999"	"1999"	"40-44 years"	"40-44"	33	437805	7.538
	"Missouri"	"29"	"1999"	"1999"	"45-49 years"	"45-49"	11	386754	Unreliable
	"Missouri"	"29"	"1999"	"1999"	"50-54 years"	"50-54"	Suppressed	334433	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"55-59 years"	"55-59"	Suppressed	272809	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"60-64 years "	"60-64"	Suppressed	226460	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"65-69 years"	"65-69"	Suppressed	205558	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"70-74 years"	"70-74"	Suppressed	188365	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"75-79 years"	"75-79"	Suppressed	156690	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"80-84 years"	"80-84"	Suppressed	105892	Suppressed
	"Missouri"	"29"	"1999"	"1999"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"1999"	"1999"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"1999"	"1999"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"1999"	"1999"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"1999"	"1999"			100	5561948	1.798
	"Missouri"	"29"	"2000"	"2000"	"< 1 year"	"1"	Suppressed	72842	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"1-4 years"	"1-4"	Suppressed	297056	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"5-9 years"	"5-9"	Suppressed	398898	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"10-14 years"	"10-14"	Suppressed	412080	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"15-19 years"	"15-19"	Suppressed	413296	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"20-24 years"	"20-24"	14	369498	Unreliable
	"Missouri"	"29"	"2000"	"2000"	"25-29 years"	"25-29"	12	362305	Unreliable
	"Missouri"	"29"	"2000"	"2000"	"30-34 years"	"30-34"	14	376428	Unreliable
	"Missouri"	"29"	"2000"	"2000"	"35-39 years"	"35-39"	26	443250	5.866
	"Missouri"	"29"	"2000"	"2000"	"40-44 years"	"40-44"	21	444319	4.726
	"Missouri"	"29"	"2000"	"2000"	"45-49 years"	"45-49"	22	395616	5.561
	"Missouri"	"29"	"2000"	"2000"	"50-54 years"	"50-54"	Suppressed	346846	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"55-59 years"	"55-59"	Suppressed	279073	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"60-64 years "	"60-64"	Suppressed	228325	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"65-69 years"	"65-69"	Suppressed	205372	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"70-74 years"	"70-74"	Suppressed	187854	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"75-79 years"	"75-79"	Suppressed	157207	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"80-84 years"	"80-84"	Suppressed	106375	Suppressed
	"Missouri"	"29"	"2000"	"2000"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2000"	"2000"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2000"	"2000"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2000"	"2000"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2000"	"2000"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2000"	"2000"			131	5595211	2.341
	"Missouri"	"29"	"2001"	"2001"	"< 1 year"	"1"	Suppressed	75252	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"1-4 years"	"1-4"	Suppressed	294978	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"5-9 years"	"5-9"	Suppressed	390824	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"10-14 years"	"10-14"	Suppressed	415732	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"15-19 years"	"15-19"	Suppressed	416279	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"20-24 years"	"20-24"	15	386132	Unreliable
	"Missouri"	"29"	"2001"	"2001"	"25-29 years"	"25-29"	Suppressed	348606	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"30-34 years"	"30-34"	15	379305	Unreliable
	"Missouri"	"29"	"2001"	"2001"	"35-39 years"	"35-39"	26	427233	6.086
	"Missouri"	"29"	"2001"	"2001"	"40-44 years"	"40-44"	28	451633	6.200
	"Missouri"	"29"	"2001"	"2001"	"45-49 years"	"45-49"	26	407954	6.373
	"Missouri"	"29"	"2001"	"2001"	"50-54 years"	"50-54"	10	368696	Unreliable
	"Missouri"	"29"	"2001"	"2001"	"55-59 years"	"55-59"	Suppressed	285526	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"60-64 years "	"60-64"	Suppressed	234808	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"65-69 years"	"65-69"	Suppressed	205268	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"70-74 years"	"70-74"	Suppressed	186434	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"75-79 years"	"75-79"	Suppressed	158060	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"80-84 years"	"80-84"	Suppressed	109278	Suppressed
	"Missouri"	"29"	"2001"	"2001"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2001"	"2001"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2001"	"2001"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2001"	"2001"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2001"	"2001"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2001"	"2001"			132	5641142	2.340
	"Missouri"	"29"	"2002"	"2002"	"< 1 year"	"1"	Suppressed	74559	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"1-4 years"	"1-4"	Suppressed	297205	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"5-9 years"	"5-9"	Suppressed	384330	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"10-14 years"	"10-14"	Suppressed	418246	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"15-19 years"	"15-19"	Suppressed	415332	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"20-24 years"	"20-24"	23	398394	5.773
	"Missouri"	"29"	"2002"	"2002"	"25-29 years"	"25-29"	18	346391	Unreliable
	"Missouri"	"29"	"2002"	"2002"	"30-34 years"	"30-34"	21	379635	5.532
	"Missouri"	"29"	"2002"	"2002"	"35-39 years"	"35-39"	24	411957	5.826
	"Missouri"	"29"	"2002"	"2002"	"40-44 years"	"40-44"	43	452140	9.510
	"Missouri"	"29"	"2002"	"2002"	"45-49 years"	"45-49"	29	418801	6.925
	"Missouri"	"29"	"2002"	"2002"	"50-54 years"	"50-54"	16	369133	Unreliable
	"Missouri"	"29"	"2002"	"2002"	"55-59 years"	"55-59"	Suppressed	305877	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"60-64 years "	"60-64"	Suppressed	243363	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"65-69 years"	"65-69"	Suppressed	205540	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"70-74 years"	"70-74"	Suppressed	184706	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"75-79 years"	"75-79"	Suppressed	157860	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"80-84 years"	"80-84"	Suppressed	112292	Suppressed
	"Missouri"	"29"	"2002"	"2002"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2002"	"2002"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2002"	"2002"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2002"	"2002"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2002"	"2002"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2002"	"2002"			189	5674825	3.330
	"Missouri"	"29"	"2003"	"2003"	"< 1 year"	"1"	Suppressed	74932	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	297412	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"5-9 years"	"5-9"	Suppressed	380541	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"10-14 years"	"10-14"	Suppressed	419276	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"15-19 years"	"15-19"	Suppressed	416543	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"20-24 years"	"20-24"	30	407937	7.354
	"Missouri"	"29"	"2003"	"2003"	"25-29 years"	"25-29"	19	347369	Unreliable
	"Missouri"	"29"	"2003"	"2003"	"30-34 years"	"30-34"	24	377648	6.355
	"Missouri"	"29"	"2003"	"2003"	"35-39 years"	"35-39"	30	395831	7.579
	"Missouri"	"29"	"2003"	"2003"	"40-44 years"	"40-44"	53	451616	11.736
	"Missouri"	"29"	"2003"	"2003"	"45-49 years"	"45-49"	57	429616	13.268
	"Missouri"	"29"	"2003"	"2003"	"50-54 years"	"50-54"	28	375501	7.457
	"Missouri"	"29"	"2003"	"2003"	"55-59 years"	"55-59"	15	316630	Unreliable
	"Missouri"	"29"	"2003"	"2003"	"60-64 years "	"60-64"	Suppressed	255181	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"65-69 years"	"65-69"	Suppressed	207843	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"70-74 years"	"70-74"	Suppressed	183008	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"75-79 years"	"75-79"	Suppressed	158455	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"80-84 years"	"80-84"	Suppressed	114262	Suppressed
	"Missouri"	"29"	"2003"	"2003"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2003"	"2003"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2003"	"2003"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2003"	"2003"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Missouri"	"29"	"2003"	"2003"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"	"2003"	"2003"			271	5709403	4.747
