"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2004"	"2004"	"40-44 years"	"40-44"	13	342253	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"45-49 years"	"45-49"	16	340768	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"50-54 years"	"50-54"	Suppressed	307605	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"55-59 years"	"55-59"	Suppressed	270380	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"60-64 years "	"60-64"	Suppressed	214983	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"65-69 years"	"65-69"	Suppressed	176683	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"70-74 years"	"70-74"	Suppressed	147028	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"75-79 years"	"75-79"	Suppressed	120322	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"80-84 years"	"80-84"	Suppressed	84290	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2004"	"2004"			83	4530729	1.832
	"Alabama"	"01"	"2005"	"2005"	"< 1 year"	"1"	Suppressed	59424	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"1-4 years"	"1-4"	Suppressed	237017	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"5-9 years"	"5-9"	Suppressed	298450	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"10-14 years"	"10-14"	Suppressed	323028	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"15-19 years"	"15-19"	Suppressed	330753	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"20-24 years"	"20-24"	14	326727	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"25-29 years"	"25-29"	Suppressed	290568	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"30-34 years"	"30-34"	Suppressed	295263	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"35-39 years"	"35-39"	Suppressed	303456	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"40-44 years"	"40-44"	13	339299	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"45-49 years"	"45-49"	16	344392	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"50-54 years"	"50-54"	11	314839	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"55-59 years"	"55-59"	Suppressed	284084	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"60-64 years "	"60-64"	Suppressed	220403	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"65-69 years"	"65-69"	Suppressed	179942	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"70-74 years"	"70-74"	Suppressed	149085	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"75-79 years"	"75-79"	Suppressed	120923	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"80-84 years"	"80-84"	Suppressed	84762	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2005"	"2005"			80	4569805	1.751
	"Alabama"	"01"	"2006"	"2006"	"< 1 year"	"1"	Suppressed	60823	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"1-4 years"	"1-4"	Suppressed	236399	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"5-9 years"	"5-9"	Suppressed	303581	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"10-14 years"	"10-14"	Suppressed	321867	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"15-19 years"	"15-19"	Suppressed	337003	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"20-24 years"	"20-24"	10	326239	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"25-29 years"	"25-29"	20	302813	6.605
	"Alabama"	"01"	"2006"	"2006"	"30-34 years"	"30-34"	Suppressed	288248	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"35-39 years"	"35-39"	12	308663	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"40-44 years"	"40-44"	19	334043	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"45-49 years"	"45-49"	17	348601	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"50-54 years"	"50-54"	12	323309	Unreliable
